$BNRDD,47,,,,19,,,,35.6617,,139.7447,,,,,,*42
$BNRDD,47,,,,20,,,,35.6617,,139.7447,,,,,,*48
$BNRDD,47,,,,19,,,,35.6617,,139.7447,,,,,,*42
$BNRDD,47,,,,16,,,,35.6617,,139.7447,,,,,,*4D
$BNRDD,47,,,,19,,,,35.6617,,139.7447,,,,,,*42
$BNRDD,47,,,,21,,,,35.6617,,139.7447,,,,,,*49
$BNRDD,47,,,,20,,,,35.6617,,139.7447,,,,,,*48
$BNRDD,47,,,,21,,,,35.6617,,139.7447,,,,,,*49
$BNRDD,47,,,,18,,,,35.6617,,139.7447,,,,,,*43
$BNRDD,47,,,,21,,,,35.6617,,139.7447,,,,,,*49
$BNRDD,47,,,,20,,,,35.6617,,139.7447,,,,,,*48
$BNRDD,47,,,,18,,,,35.6617,,139.7447,,,,,,*43
$BNRDD,47,,,,16,,,,35.6617,,139.7447,,,,,,*4D
$BNRDD,47,,,,20,,,,35.6617,,139.7447,,,,,,*48
$BNRDD,47,,,,18,,,,35.6617,,139.7447,,,,,,*43
